date, pm25, pm10, o3, no2, so2, co
2018/12/4, 36, 19, 27, , 1, 4
2018/12/5, 50, 29, 25, , 1, 6
2018/12/6, 67, 26, 36, , 1, 3
2018/12/7, 63, 14, 20, , 1, 2
2018/12/8, 38, 8, 13, 5, 1, 1
2018/12/9, 22, 15, 32, 8, 3, 2
2018/12/10, 34, 25, 35, 17, 2, 3
2018/12/11, 50, 37, 35, 24, 2, 5
2018/12/12, 66, 31, 36, 22, 1, 4
2018/12/13, 59, 35, 34, 30, 1, 5
2018/12/14, 73, 37, 43, 24, 1, 4
2018/12/15, 79, 36, 41, 22, 1, 5
2018/12/16, 72, 36, 69, 11, 1, 4
2018/12/17, 39, 40, 51, 21, , 5
2018/12/22, 55, 19, 34, 21, , 4
2018/12/23, 90, 16, 26, 9, , 4
2018/12/24, 41, 15, 23, 9, , 3
2018/12/25, 46, 14, 18, 4, 1, 2
2018/12/26, 40, 18, 39, 9, 2, 2
2018/12/27, 44, 21, 38, 10, 1, 3
2018/12/28, 46, 17, 25, 14, , 3
2018/12/29, 56, 25, 54, 15, 1, 4
2018/12/30, 65, 18, 34, 9, , 3
2018/12/31, 55, , , , , 
2018/7/2, 105, 59, 14, 36, , 18
2018/7/3, 110, 42, , 25, , 12
2018/7/4, 87, 24, 13, 11, , 7
2018/7/5, 53, 48, 15, 40, , 16
2018/7/6, 102, 60, 2, 42, , 19
2018/7/7, 127, 45, 3, 20, , 9
2018/7/8, 103, 53, 23, 22, , 12
2018/7/9, 111, 32, 26, 15, , 8
2018/7/10, 67, 9, 10, 12, , 6
2018/7/11, 20, 13, 17, 16, , 6
2018/7/12, 23, 25, 20, 22, , 7
2018/7/13, 49, 38, 19, 33, , 11
2018/7/14, 78, 56, 26, 41, , 19
2018/7/15, 115, 54, 23, 29, , 22
2018/7/16, 115, 54, 21, 44, , 22
2018/7/17, 114, 53, 6, 41, , 16
2018/7/18, 104, 52, 18, 39, , 19
2018/7/19, 108, 60, 25, 42, , 20
2018/7/20, 108, 57, 23, 41, , 18
2018/7/21, 109, 49, 19, 27, , 14
2018/7/22, 97, 12, 11, 9, , 7
2018/7/23, 36, 37, , 31, , 12
2018/7/24, 74, 35, , 28, , 14
2018/7/25, 76, 23, , 21, , 10
2018/7/26, 56, 30, , 26, , 11
2018/7/27, 69, 45, 18, 43, , 18
2018/7/28, 94, 52, , 42, , 23
2018/7/29, 105, 60, , 36, , 36
2018/7/30, 113, 46, , 31, , 
2018/7/31, 100, 12, , 21, , 
2018/8/1, 35, 8, , 15, , 
2018/8/2, 21, 12, 4, 19, , 3
2018/8/3, 37, 17, 2, 24, , 8
2018/8/4, 51, 18, 10, 22, , 5
2018/8/5, 45, 14, 9, 15, , 5
2018/8/6, 45, 22, 2, 29, , 6
2018/8/7, 60, 17, 11, 18, , 3
2018/8/8, 48, 22, 14, 26, , 7
2018/8/9, 57, 13, 16, 17, , 4
2018/8/10, 32, 15, 10, 14, , 3
2018/8/11, 30, 19, 19, 17, , 2
2018/8/12, 39, 11, 21, 8, , 1
2018/8/13, 28, 17, 21, 15, , 5
2018/8/14, 39, 24, 20, 28, , 4
2018/8/15, 59, 21, 13, 22, , 4
2018/8/16, 49, 13, 17, 15, , 2
2018/8/17, 30, 8, 15, 16, , 2
2018/8/18, 23, 14, 18, 14, 1, 3
2018/8/19, 44, 23, 25, 16, 1, 4
2018/8/20, 62, 30, 25, 30, 2, 6
2018/8/21, 65, 36, 20, 26, 2, 5
2018/8/22, 68, 36, 21, 29, 1, 5
2018/8/23, 74, 50, 28, 46, 2, 9
2018/8/24, 103, 51, 23, 39, 2, 10
2018/8/25, 96, 20, 16, 17, , 4
2018/8/26, 41, 5, 15, 8, , 1
2018/8/27, 18, 10, 15, 12, , 2
2018/8/28, 30, 22, 18, 21, 1, 2
2018/8/29, 50, 29, 26, 25, 1, 5
2018/8/30, 64, 30, 19, 31, 1, 6
2018/8/31, 60, 54, 8, 47, 1, 6
2018/9/1, 101, 53, , 52, 1, 8
2018/9/2, 101, 36, , 9, 2, 2
2018/9/3, 81, 23, , 18, , 5
