date, pm25, pm10, o3, no2, so2, co
2018/11/22, 39, , 27, 18, 1, 
2018/11/23, 48, , 26, 20, , 
2018/11/24, 44, , 20, 12, , 
2018/11/25, 23, , 22, 8, , 
2018/11/26, 31, , 12, 9, 1, 
2018/11/27, 36, , 1, 12, 1, 
2018/11/28, 47, , , 12, 1, 
2018/11/29, 51, , , 20, , 
2018/11/30, 47, , 38, 27, 1, 
2018/12/1, 63, , 26, 16, , 
2018/12/2, 27, , 26, 8, , 
2018/12/3, 33, , 14, 10, 1, 
2018/12/4, 36, , 44, 17, 1, 
2018/12/5, 41, , 32, 28, 1, 
2018/12/6, 63, , 37, 17, 1, 
2018/12/7, 66, , 20, 11, 1, 
2018/12/8, 43, , 14, 7, 1, 
2018/12/9, 34, , 33, 8, 3, 
2018/12/10, 41, , 42, 14, 2, 
2018/12/11, 49, , 46, , 2, 
2018/12/12, 56, , 58, , 1, 
2018/12/13, 56, 29, 41, , 1, 
2018/12/14, 60, 28, 43, , 1, 
2018/12/15, 57, 28, 48, 22, 1, 
2018/12/16, 70, 16, 71, 14, 1, 
2018/12/17, 88, 23, 56, 21, , 
2018/12/18, 74, 24, 61, , , 
2018/12/19, 47, 11, 50, , , 
2018/12/20, 54, , 50, , , 
2018/12/21, 59, , 52, , , 
2018/12/22, 49, , 46, , , 
2018/12/23, 44, , 38, , , 
2018/12/24, 36, , 27, , , 
2018/12/25, 49, , 19, , , 
2018/12/26, 44, , 37, , , 
2018/12/27, 38, , 45, , , 
2018/12/28, 47, , 31, , 1, 
2018/12/29, 44, , 65, , 1, 
2018/12/30, 60, , 41, , , 
2018/12/31, 53, , , , , 
2018/7/2, 117, , 34, , , 
2018/7/3, 94, , 15, , , 
2018/7/4, 89, , 16, , , 
2018/7/5, 54, , 26, , , 
2018/7/6, 92, , 31, , , 
2018/7/7, 108, , 38, , , 
2018/7/8, 99, , 40, , , 
2018/7/9, 111, , 32, , , 
2018/7/10, 55, , 12, , , 
2018/7/11, 25, , 16, , , 
2018/7/12, 25, , 15, , , 
2018/7/13, 58, , 26, , , 
2018/7/14, 76, , 38, , , 
2018/7/15, 119, , 37, , , 
2018/7/16, 114, , 27, , , 
2018/7/17, 105, , 24, , , 
2018/7/18, 111, , 25, , , 
2018/7/19, 100, , 38, , , 
2018/7/20, 101, , 40, , , 
2018/7/21, 93, , 28, , , 
2018/7/22, 70, , 17, , , 
2018/7/23, 38, , 24, , , 
2018/7/24, 75, , 14, , , 
2018/7/25, 84, , 18, , , 
2018/7/26, 60, , 23, , , 
2018/7/27, 72, , 25, , , 
2018/7/28, 98, , 40, , , 
2018/7/29, 98, , 36, , , 
2018/7/30, 101, , 15, , , 
2018/7/31, 105, , 10, , , 
2018/8/1, 37, , 11, , , 
2018/8/2, 28, , 7, , , 
2018/8/3, 34, , 3, , , 
2018/8/4, 46, , 20, , , 
2018/8/5, 41, , 13, , , 
2018/8/6, 43, , 2, , , 
2018/8/7, 61, , 8, , , 
2018/8/8, 49, , 24, , , 
2018/8/9, 45, , 29, , , 
2018/8/10, 32, , 28, , , 
2018/8/11, 28, , 28, , , 
2018/8/12, 37, , 27, , , 
2018/8/13, 42, , 18, , , 
2018/8/14, 48, , 33, , , 
2018/8/15, 61, , 13, , , 
2018/8/16, 83, , 14, , , 
2018/8/17, 44, , 14, , , 
2018/8/18, 31, 17, 19, 12, 1, 2
2018/8/19, 49, 26, 32, 13, 1, 2
2018/8/20, 63, 34, 38, 27, 2, 4
2018/8/21, 67, 41, 26, 26, 2, 5
2018/8/22, 93, 38, 34, 26, 1, 4
2018/8/23, 75, 54, 47, 41, 2, 7
2018/8/24, 98, 60, 39, 29, 2, 5
2018/8/25, 93, 27, 22, 14, , 3
2018/8/26, 39, 20, 16, 7, , 1
2018/8/27, 25, 20, 13, 13, , 2
2018/8/28, 34, 24, 22, 19, 1, 3
2018/8/29, 52, 37, 21, 21, 1, 3
